,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
2.2217,-9.868606656,-9.838737199,-9.604875743,-9.469206453,-9.52523707,-9.567349542,-9.519380909,-9.465770754,-9.512910395,-9.545113898,-9.504013618,-9.453100864,-9.489681523,-9.502791935,-9.44495611,-9.408802539
2.2461,-9.772044098,-9.649147173,-9.591595459,-9.630364952,-9.5780168,-9.500153257,-9.497714927,-9.589448882,-9.56924715,-9.49121781,-9.483221371,-9.585725421,-9.57076618,-9.465322124,-9.391874382,-9.434251956
2.2705,-9.5371538,-9.510670644,-9.616065677,-9.613717659,-9.461414868,-9.418791395,-9.575076579,-9.632161715,-9.477667972,-9.411177767,-9.551321631,-9.637714307,-9.515859226,-9.430435637,-9.53783316,-9.646009607
2.2949,-9.298895906,-9.35731029,-9.330561565,-9.210113123,-9.153191961,-9.223997387,-9.280186383,-9.214281847,-9.154504194,-9.214877162,-9.28178234,-9.227124793,-9.169091282,-9.229661405,-9.336521179,-9.345507338
2.3193,-9.295095659,-9.3160211,-9.362012053,-9.219371694,-9.062987447,-9.112972153,-9.270437683,-9.219536762,-9.069845877,-9.099334916,-9.260764207,-9.230109841,-9.070042785,-9.071960596,-9.213802588,-9.198274065
2.3438,-9.768818148,-9.840959112,-9.805471158,-9.629029005,-9.506998864,-9.508935856,-9.577942143,-9.571982758,-9.49971404,-9.497285137,-9.561156972,-9.572088867,-9.499687397,-9.48385642,-9.54469199,-9.605698245
2.3682,-9.786793319,-9.796166688,-9.711234384,-9.671696235,-9.588790589,-9.46713611,-9.456899504,-9.587969206,-9.586780831,-9.446790137,-9.414109471,-9.545656352,-9.56533085,-9.436681267,-9.431075517,-9.614651271
2.3926,-9.389763265,-9.324415011,-9.181132156,-9.096843617,-9.053928929,-8.990069298,-8.975214465,-9.014889225,-9.032976554,-8.967928859,-8.928270065,-8.956169616,-9.006286217,-8.980639154,-8.958126914,-8.977652938
2.417,-9.261108705,-9.204177985,-9.212468344,-9.158098379,-8.980940893,-8.885077214,-8.971777196,-9.099028405,-9.012705207,-8.897340116,-8.945844294,-9.0623736,-9.00540629,-8.911128711,-8.93626903,-9.039743026
2.4414,-9.327269242,-9.406410238,-9.623290616,-9.514051618,-9.231709854,-9.197796987,-9.376416484,-9.393216922,-9.200980232,-9.166627177,-9.366703892,-9.433768535,-9.221446237,-9.109141681,-9.27992714,-9.397370926
2.4658,-9.548254886,-9.486700028,-9.383498766,-9.397560316,-9.478854656,-9.451502391,-9.375592118,-9.377412705,-9.420363191,-9.386698577,-9.302656087,-9.29489083,-9.355584895,-9.372359791,-9.279820009,-9.222310049
2.4902,-9.859163774,-9.89969996,-9.729134805,-9.659010513,-9.786350889,-9.900036854,-9.745328987,-9.643000955,-9.718199831,-9.755368804,-9.621741926,-9.581998457,-9.700086067,-9.776523801,-9.672974239,-9.581230304
2.5146,-9.967397884,-9.979320962,-9.844923242,-9.754439387,-9.793277365,-9.782528664,-9.704107293,-9.610618866,-9.619759391,-9.599422914,-9.55791308,-9.531577762,-9.603967253,-9.623921547,-9.591115148,-9.555605674
2.5391,-9.629945232,-9.618969252,-9.554087015,-9.528155657,-9.482507939,-9.404940923,-9.410906183,-9.515394474,-9.487554928,-9.359876153,-9.306811356,-9.391273766,-9.424649061,-9.366886993,-9.327744539,-9.404854998
2.5635,-9.715708733,-9.446007241,-9.569041038,-9.756714415,-9.451686864,-9.178267277,-9.324570972,-9.637947729,-9.483941894,-9.192127425,-9.289409125,-9.575865559,-9.456867471,-9.173816627,-9.262924922,-9.561154923
