,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
0.73242,-8.966396013,-9.00389409,-8.975802768,-8.968529363,-9.041149964,-9.014564729,-8.876864514,-8.807928787,-8.885569317,-8.964282357,-8.878689145,-8.789890074,-8.858891069,-8.971840968,-8.904064017,-8.802842857,-8.84989304,-8.976915876,-8.942102894,-8.847953443,-8.874486484,-8.980825324,-8.942869527,-8.838150915,-8.841470659,-8.989825689,-9.081320814,-9.034451893,-8.980343483,-9.039148343,-9.086744227,-9.066286165,-9.049990576,-9.117251089,-9.14072223,-9.090077581,-9.051095309,-9.080987418,-9.086603435,-9.0295601,-8.982904691,-9.013422675,-9.059739343,-9.0453331,-9.009678526,-9.016169644,-9.048748193
0.75684,-9.303667402,-9.147952998,-9.057271608,-9.207654831,-9.310528355,-9.162978938,-9.023317028,-9.139123994,-9.326438116,-9.260726146,-9.097730706,-9.159410375,-9.276422659,-9.185823659,-9.045747378,-9.127911957,-9.276866249,-9.200136737,-9.049500028,-9.144169823,-9.34406082,-9.275262539,-9.075194074,-9.121062942,-9.340104157,-9.326556211,-9.14116531,-9.183396339,-9.420967591,-9.394968154,-9.167896085,-9.196170321,-9.477929859,-9.505140044,-9.241291569,-9.2180961,-9.462978465,-9.479908042,-9.168085229,-9.095871594,-9.343084133,-9.448899785,-9.177414826,-9.082814818,-9.316323382,-9.45425557,-9.195340129
0.78125,-9.484032539,-9.215767577,-9.167224184,-9.439559011,-9.560107247,-9.267311878,-9.173277482,-9.405921228,-9.647068901,-9.451624152,-9.343823159,-9.502446686,-9.605724137,-9.346092125,-9.223354561,-9.387348499,-9.55808409,-9.356528106,-9.212397726,-9.340701926,-9.565604782,-9.439869201,-9.268221674,-9.342583524,-9.555842929,-9.457614123,-9.236983694,-9.211110906,-9.342464713,-9.324597551,-9.206922306,-9.180690782,-9.284915571,-9.296852726,-9.198953299,-9.145617313,-9.223605874,-9.227402161,-9.124226617,-9.0815904,-9.187839357,-9.235106902,-9.135376856,-9.079080097,-9.176292657,-9.238636692,-9.133110227
0.80566,-8.940860669,-8.834377123,-8.939311209,-9.078908907,-9.010940973,-8.875658962,-8.929210202,-9.075820269,-9.086326049,-9.055306043,-9.110194249,-9.14640124,-9.089615131,-9.050299149,-9.067822945,-9.086582084,-9.082062759,-9.075420425,-9.096207064,-9.130502428,-9.158520632,-9.168815829,-9.16290528,-9.145235873,-9.129083731,-9.095300949,-9.039618223,-9.001002057,-9.029442249,-9.104990056,-9.124524331,-9.107916236,-9.133593318,-9.18229238,-9.165275701,-9.124068967,-9.14291921,-9.180906216,-9.139830414,-9.079641132,-9.106382557,-9.168224196,-9.150233166,-9.087354489,-9.104377589,-9.157462677,-9.128138474
0.83008,-8.866400693,-8.864753638,-8.803044652,-8.797522954,-8.84335693,-8.871930219,-8.821244576,-8.783641318,-8.845682622,-8.975478252,-9.006539214,-8.947756861,-8.920436197,-8.972971536,-8.980971684,-8.923849243,-8.892838252,-8.954485769,-8.982920781,-8.954271167,-8.952327071,-9.037911884,-9.05789514,-8.986730674,-8.955736921,-9.044214875,-9.042751583,-8.91583341,-8.862237085,-9.008870716,-9.163390538,-9.12709838,-9.044966582,-9.11769566,-9.202627459,-9.136613815,-9.043369661,-9.101158977,-9.170765227,-9.102362122,-9.018222159,-9.095195431,-9.194510459,-9.132630279,-9.021446238,-9.072402003,-9.185669641
0.85449,-9.002663554,-8.980851527,-8.888654787,-8.813582352,-8.798202212,-8.772973592,-8.713123945,-8.675052343,-8.703498995,-8.744964603,-8.790510824,-8.829493774,-8.880583626,-8.894461711,-8.889510561,-8.853835927,-8.849745996,-8.849729372,-8.856602129,-8.841106037,-8.869201067,-8.884416487,-8.869698051,-8.82254898,-8.84934923,-8.880738836,-8.854635055,-8.778908222,-8.80296055,-8.876444666,-8.909107996,-8.864821926,-8.873958045,-8.911413858,-8.919325475,-8.869367786,-8.870083334,-8.915746871,-8.945743813,-8.894193006,-8.875474336,-8.913900175,-8.944215683,-8.885425263,-8.849694764,-8.886325174,-8.9300852
0.87891,-9.093688843,-8.90032332,-8.828941184,-8.865577813,-8.762891753,-8.598307184,-8.63201069,-8.819449097,-8.801988489,-8.614497948,-8.590607395,-8.759376361,-8.817693581,-8.679157988,-8.629091918,-8.759574293,-8.82492291,-8.70561962,-8.648025598,-8.766651747,-8.8278818,-8.711341756,-8.649846597,-8.763743769,-8.833136552,-8.719467569,-8.652293659,-8.753375248,-8.817991109,-8.731532345,-8.663789101,-8.739966054,-8.811860228,-8.758320702,-8.689525147,-8.747353027,-8.834205079,-8.811839945,-8.754137079,-8.80644181,-8.880920318,-8.831617282,-8.73813398,-8.762471515,-8.835051279,-8.817781632,-8.728961796
0.90332,-9.207068364,-9.071457726,-8.922939877,-9.002515971,-9.120917722,-8.996794915,-8.841767252,-8.90092613,-9.044841098,-8.959662558,-8.798978957,-8.855141494,-9.02136502,-8.950663304,-8.767814553,-8.808742033,-8.999206618,-8.980259941,-8.795067237,-8.801909616,-8.968362901,-8.955616487,-8.768701314,-8.756195299,-8.927659656,-8.975685088,-8.812824861,-8.783024368,-8.951180317,-9.000330309,-8.823993429,-8.786513958,-8.982267901,-9.087284949,-8.900289968,-8.805144721,-8.95772982,-9.083997045,-8.934599444,-8.832927128,-8.961921331,-9.090606219,-8.94580045,-8.826798595,-8.966632059,-9.142368054,-9.011952948
0.92773,-8.832289157,-8.903219003,-8.854550636,-8.819362474,-8.906124307,-8.97905102,-8.917769839,-8.827343832,-8.818459275,-8.868951598,-8.88574919,-8.859975792,-8.858148103,-8.895713647,-8.900595367,-8.850949745,-8.845550508,-8.89511206,-8.905633163,-8.847507612,-8.837578671,-8.875259735,-8.865368512,-8.788003762,-8.779792699,-8.848389577,-8.891213859,-8.819635767,-8.761574241,-8.796473359,-8.877096944,-8.870806247,-8.833596846,-8.84640941,-8.89623318,-8.871911779,-8.826226951,-8.841377684,-8.90099003,-8.87677989,-8.821335849,-8.825781469,-8.891851029,-8.874434346,-8.812544238,-8.839425445,-8.957154392
0.95215,-8.632878295,-8.627240605,-8.658003074,-8.673789875,-8.655054773,-8.637526772,-8.659524577,-8.671374709,-8.665016784,-8.657773815,-8.696846859,-8.715551649,-8.694475137,-8.657461579,-8.673955692,-8.698643408,-8.685122074,-8.654117373,-8.668394301,-8.695671553,-8.680939397,-8.640307451,-8.630587586,-8.660008885,-8.672708411,-8.641918682,-8.610184252,-8.642678715,-8.693956521,-8.688844258,-8.632533546,-8.64374531,-8.704234624,-8.715352334,-8.647546024,-8.643296561,-8.704465754,-8.737903915,-8.659304086,-8.61604714,-8.654128036,-8.728226868,-8.692653052,-8.649256906,-8.675647307,-8.75828447,-8.736501552
